 
 
 
 
 
 👇👇4GTV 2👇👇,#genre#
 ,http://a.b/c.m3u8



綜合,#genre#
民視,https://4gtv.livednow.us.kg/litv/4gtv-4gtv002
民視第一台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv003
民視台灣台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv001
中視,https://4gtv.livednow.us.kg/litv/4gtv-4gtv040
中視菁采台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv064
中天亞洲台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv109
華視,https://4gtv.livednow.us.kg/litv/4gtv-4gtv041
靖天綜合台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv046
靖天國際台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv063
靖天日本台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv047
三立綜合台,https://4gtv.livednow.us.kg/4gtv/169
台視,https://4gtv.livednow.us.kg/litv/4gtv-4gtv066
Arirang TV,https://4gtv.livednow.us.kg/litv/4gtv-4gtv079
Bloomberg TV,https://4gtv.livednow.us.kg/4gtv/283
新聞財經,#genre#
民視新聞台,https://4gtv.livednow.us.kg/litv/litv-ftv13
中視新聞台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv074
中天新聞台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv009
華視新聞,https://4gtv.livednow.us.kg/litv/4gtv-4gtv052
靖天資訊台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv065
寰宇新聞台,https://4gtv.livednow.us.kg/litv/litv-longturn14
寰宇新聞台灣台,https://4gtv.livednow.us.kg/litv/litv-longturn15
寰宇財經台,https://4gtv.livednow.us.kg/litv/litv-longturn23
TVBS 新聞台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv072
三立新聞,https://4gtv.livednow.us.kg/4gtv/229
台視新聞台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv051
台視財經台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv056
東森新聞,https://4gtv.livednow.us.kg/litv/4gtv-4gtv152
東森財經新聞,https://4gtv.livednow.us.kg/litv/4gtv-4gtv153
非凡新聞台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv010
非凡商業台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv048
鏡電視新聞台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv075
CNBC Asia 財經台,https://4gtv.livednow.us.kg/4gtv/235
VOA 美國之音,https://4gtv.livednow.us.kg/litv/litv-ftv03
DW德國之聲,https://4gtv.livednow.us.kg/4gtv/226
SBN 全球財經台,https://4gtv.livednow.us.kg/4gtv/224
半島國際新聞台,https://4gtv.livednow.us.kg/litv/litv-ftv10
第1商業台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv104
電影戲劇,#genre#
民視影劇台,https://4gtv.livednow.us.kg/litv/litv-ftv09
中視經典台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv080
靖天戲劇台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv058
靖天電影台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv061
龍華偶像台,https://4gtv.livednow.us.kg/litv/litv-longturn12
龍華戲劇台,https://4gtv.livednow.us.kg/litv/litv-longturn18
龍華經典台,https://4gtv.livednow.us.kg/litv/litv-longturn21
龍華電影台,https://4gtv.livednow.us.kg/litv/litv-longturn03
靖洋戲劇台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv045
TVBS 台劇台,https://4gtv.livednow.us.kg/4gtv/285
影迷數位紀實台,https://4gtv.livednow.us.kg/4gtv/212
影迷數位電影台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv011
AMC 電影台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv017
CatchPlay 電影台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv076
My Cinema Europe HD 我的歐洲電影,https://4gtv.livednow.us.kg/4gtv/176
公視戲劇台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv042
采昌影劇台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv049
台灣戲劇台,https://4gtv.livednow.us.kg/litv/litv-longturn22
戲劇免費看 1台,https://4gtv.livednow.us.kg/4gtv/270
戲劇免費看 2台,https://4gtv.livednow.us.kg/4gtv/244
經典電影台,https://4gtv.livednow.us.kg/4gtv/201
電影免費看 2台,https://4gtv.livednow.us.kg/4gtv/245
電影原聲台 CMusic,https://4gtv.livednow.us.kg/4gtv/218
花系列 經典劇場,https://4gtv.livednow.us.kg/4gtv/279
CinemaWorld,https://4gtv.livednow.us.kg/4gtv/225
HITS 頻道,https://4gtv.livednow.us.kg/4gtv/186
Rock Action,https://4gtv.livednow.us.kg/4gtv/180
Rock Entertainment,https://4gtv.livednow.us.kg/4gtv/275
金光布袋戲,https://4gtv.livednow.us.kg/4gtv/236
霹靂布袋戲,https://4gtv.livednow.us.kg/4gtv/301
生活旅遊,#genre#
民視旅遊台,https://4gtv.livednow.us.kg/litv/litv-ftv07
ELTA 生活旅遊,https://4gtv.livednow.us.kg/4gtv/237
ELTA生活英語,https://4gtv.livednow.us.kg/litv/litv-longturn20
亞洲旅遊台,https://4gtv.livednow.us.kg/litv/litv-longturn17
Global Trekker,https://4gtv.livednow.us.kg/4gtv/252
Globetrotter 環遊旅行家,https://4gtv.livednow.us.kg/litv/4gtv-4gtv016
LUXE TV,https://4gtv.livednow.us.kg/4gtv/175
Pet Club TV,https://4gtv.livednow.us.kg/4gtv/182
TV5MONDE Style,https://4gtv.livednow.us.kg/4gtv/178
車迷 TV,https://4gtv.livednow.us.kg/4gtv/160
Love Nature,https://4gtv.livednow.us.kg/4gtv/139
Fun 探索娛樂台,https://4gtv.livednow.us.kg/4gtv/274
幸福空間居家台,https://4gtv.livednow.us.kg/4gtv/168
音樂綜藝,#genre#
民視綜藝台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv004
靖天育樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv062
靖天歡樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv054
龍華日韓台,https://4gtv.livednow.us.kg/litv/litv-longturn11
TVBS 綜藝台,https://4gtv.livednow.us.kg/4gtv/284
TVBS 歡樂台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv068
TVBS 精采台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv067
八大精彩台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv034
八大綜藝台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv039
